"Qty","Value","Manufacturer","MPN","Digikey PN"
"2","680p","YAGEO","CC1206JRNPOYBN681","13-CC1206JRNPOYBN681CT-ND"
"2","1n","YAGEO","CC1206JRNPOBBN102","13-CC1206JRNPOBBN102CT-ND"
"2","4n7","YAGEO","CC1206JRNPO0BN472","311-4403-1-ND"
"6","10n","YAGEO","CC1206JKNPO0BN103","311-4374-1-ND"
"4","15n","KEMET","PHE426DJ5150JR05",""
"2","47n","KEMET","PHE426DJ5470JR05",""
"2","100n","Vishay Beyschlag/Draloric/BC Components","K104K10X7RF53L2",""
"14","100n","Samsung Electro-Mechanics","CL21B104KCFNNNE","1276-6840-1-ND"
"4","100n","KEMET","PHE426HJ6100JR05",""
"6","220n","KEMET","PHE426HA6220JR05",""
"6","1u","Panasonic Industry","ECW-FE2W105JA",""
"2","100u","Rubycon","50ZLJ100M8X11.5",""
"4","470u","Rubycon","50ZLJ470M10X20",""
"4","10K LIN","Bourns Inc.","PTD902-2215K-B103",""
"1","10K LOG","Bourns Inc.","PDB182-K415K-103A1",""
"2","47R","YAGEO","RT1206FRE0747RL","13-RT1206FRE0747RLCT-ND"
"2","100","YAGEO","RT1206DRD07100RL","311-2915-1-ND"
"2","100K RLOG","Bourns Inc.","PTD902-2015K-C104",""
"2","100K RLOG","Bourns Inc.","PTD904-2015K-C104",""
"4","470R","YAGEO","RT1206DRE07470RL","311-2995-1-ND"
"12","1K","YAGEO","RT1206DRD071KL","311-2925-1-ND"
"4","1K1","YAGEO","RT1206FRE071K1L","13-RT1206FRE071K1LCT-ND"
"2","1K2","YAGEO","RT1206FRE071K2L","13-RT1206FRE071K2LCT-ND"
"4","1K8","YAGEO","RT1206FRE071K8L","13-RT1206FRE071K8LCT-ND"
"8","2K2","YAGEO","RT1206DRE072K2L","311-2984-1-ND"
"2","2K7","YAGEO","RT1206DRE072K7L","311-2985-1-ND"
"2","3K","YAGEO","RT1206DRD073KL","13-RT1206DRD073KLCT-ND"
"16","4K7","YAGEO","RT1206DRD074K7L","13-RT1206DRD074K7LCT-ND"
"8","6K8","YAGEO","RT1206DRD076K8L","13-RT1206DRD076K8LCT-ND"
"2","7K5","YAGEO","RT1206FRE077K5L","13-RT1206FRE077K5LCT-ND"
"2","10K","YAGEO","RT1206DRD0710KL","311-2916-1-ND"
"12","12K","YAGEO","RT1206DRE0712KL","311-2960-1-ND"
"2","39K","YAGEO","RT1206DRE0739KL","311-2991-1-ND"
"2","51K","YAGEO","RT1206DRD0751KL","13-RT1206DRD0751KLCT-ND"
"2","100K","YAGEO","RT1206DRD07100KL","311-2914-1-ND"
"2","220K","YAGEO","RT1206FRE07220KL","13-RT1206FRE07220KLCT-ND"
"1","T1A","Bel Fuse Inc.","0697H1000-02","5923-0697H1000-02CT-ND"
"4","1N4004","onsemi","1N4004G","1N4004GOS-ND"
"1","ACAC_Wall_Wart","Ideal Power Ltd.","77DA-12-09",""
"1","Barrel_Jack_Switch","Tensility International Corp","54-00127",""
"1","LM7818_TO220","onsemi","MC7818CTG",""
"1","LM7918_TO220","onsemi","MC7918CTG",""
"5","NE5532","Texas Instruments","NE5532P",""
"1","RCA_IN_L","Kycon, Inc.","KLPX-0848A-2-W",""
"1","RCA_IN_R","Kycon, Inc.","KLPX-0848A-2-R",""
"1","RCA_OUT_L","Kycon, Inc.","KLPX-0848A-2-W",""
"1","RCA_OUT_R","Kycon, Inc.","KLPX-0848A-2-R",""
"2","SW_4PDT_separate","E-Switch","1004P1T1B9M7QEH",""
"9","TL072","Texas Instruments","TL072BCP",""
